Item,SupplierDB
Cocoa powder,"Cocoa, instant, without milk, powder"
Granulated sugar,"Sugar, brown"
butter (milk),Buttermilk
pasteurised cow's milk,"Milk, partly skimmed, 1.5 % fat"
cream,"Cream, whipping, 38 % fat"
pasteurised cow's cream,"Cream, whipping, 38 % fat"
sea salt,salt
unpasteurised sheeps milk,Goat milk
pasteurised sheeps milk,Goat milk
pasteurised cows milk,"Milk, partly skimmed, 1.5 % fat"
Tomatoes,"Tomato, ripe, raw, origin unknown"
Cocoa Mass,"Cocoa, powder"
Apple,"Apple, raw, all varieties"
lemon juice concentrate,Lemon juice
dark brown sugar,"Sugar, brown"
